Volatility 3 Framework 2.28.1

PID	Process	Base	Name	Major	Minor	Product	Build
824	winlogon.exe	0x7ffff49b0000	profext.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff6230000	Bcrypt.dll	10	0	26100	7623
824	winlogon.exe	0x7ffff48f0000	firewallapi.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff4860000	fwbase.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff3e40000	uxinit.dll	10	0	26100	7705
824	winlogon.exe	0x7ffff3d40000	UxTheme.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff7680000	CRYPT32.dll	10	0	26100	7309
824	winlogon.exe	0x7ffff5f30000	DPAPI.dll	10	0	26100	1
824	winlogon.exe	0x7ffff5920000	CRYPTBASE.dll	10	0	26100	7623
824	winlogon.exe	0x7ffff3c90000	dwminit.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff3ba0000	apphelp.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff41c0000	pfclient.dll	10	0	26100	4202
824	winlogon.exe	0x7ffff3140000	dsreg.dll	10	0	26100	7920
824	winlogon.exe	0x7fffea0a0000	usermgrcli.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff50d0000	kernel.appcore.dll	10	0	26100	7920
824	winlogon.exe	0x7fffeaa60000	camext.dll	-	-	-	-
824	winlogon.exe	0x7ffff51f0000	ntmarta.dll	10	0	26100	7019
824	winlogon.exe	0x7fffe7a10000	MPR.dll	10	0	26100	7019
824	winlogon.exe	0x7fffec800000	wkscli.dll	10	0	26100	7019
824	winlogon.exe	0x7ffff49f0000	netutils.dll	10	0	26100	1882
896	services.exe	0x7ff7e4410000	services.exe	10	0	26100	7920
896	services.exe	0x7ffff9a60000	ntdll.dll	-	-	-	-
896	services.exe	0x7ffff9560000	KERNEL32.DLL	-	-	-	-
896	services.exe	0x7ffff65f0000	KERNELBASE.dll	-	-	-	-
896	services.exe	0x7ffff8050000	RPCRT4.dll	10	0	26100	8036
896	services.exe	0x7ffff94b0000	sechost.dll	10	0	26100	7920
896	services.exe	0x7ffff5f30000	DPAPI.dll	10	0	26100	1
896	services.exe	0x7ffff5f00000	DEVOBJ.dll	10	0	26100	1150
896	services.exe	0x7ffff5ee0000	EventAggregation.dll	10	0	26100	1150
896	services.exe	0x7ffff6ae0000	ucrtbase.dll	10	0	26100	7623
896	services.exe	0x7ffff5e80000	cfgmgr32.dll	10	0	26100	7309
896	services.exe	0x7ffff4d80000	scesrv.dll	10	0	26100	7920
896	services.exe	0x7ffff9770000	msvcrt.dll	10	0	26100	7623
896	services.exe	0x7ffff5370000	sspicli.dll	10	0	26100	7920
896	services.exe	0x7ffff4ca0000	AUTHZ.dll	10	0	26100	7920
896	services.exe	0x7ffff4c50000	WudfPlatform.dll	10	0	26100	7705
896	services.exe	0x7ffff6540000	bcryptPrimitives.dll	10	0	26100	7623
896	services.exe	0x7ffff6260000	profapi.dll	10	0	26100	7309
896	services.exe	0x7ffff3cc0000	DABAPI.dll	10	0	26100	1
896	services.exe	0x7fffe6e20000	spinf.dll	10	0	26100	1150
896	services.exe	0x7fffed890000	srvcli.dll	10	0	26100	1150
896	services.exe	0x7ffff7810000	WS2_32.dll	10	0	26100	7623
896	services.exe	0x7ffff5640000	mswsock.dll	10	0	26100	7920
896	services.exe	0x7fffea0a0000	usermgrcli.dll	10	0	26100	7920
896	services.exe	0x7ffff3ba0000	apphelp.dll	10	0	26100	7920
916	lsass.exe	0x7ff6db8a0000	lsass.exe	10	0	26100	7920
916	lsass.exe	0x7ffff9a60000	ntdll.dll	-	-	-	-
916	lsass.exe	0x7ffff9560000	KERNEL32.DLL	-	-	-	-
916	lsass.exe	0x7ffff65f0000	KERNELBASE.dll	10	0	26100	7920
916	lsass.exe	0x7ffff8050000	RPCRT4.dll	10	0	26100	8036
916	lsass.exe	0x7ffff5cc0000	lsasrv.dll	10	0	26100	8036
916	lsass.exe	0x7ffff6ae0000	ucrtbase.dll	10	0	26100	7623
916	lsass.exe	0x7ffff75d0000	msvcp_win.dll	10	0	26100	7623
916	lsass.exe	0x7ffff5c80000	LSAADT.dll	10	0	26100	8036
916	lsass.exe	0x7ffff94b0000	sechost.dll	10	0	26100	7920
916	lsass.exe	0x7ffff5b80000	samsrv.dll	10	0	26100	7920
916	lsass.exe	0x7ffff6230000	bcrypt.dll	10	0	26100	7623
916	lsass.exe	0x7ffff7680000	CRYPT32.dll	10	0	26100	7309
916	lsass.exe	0x7ffff9820000	advapi32.dll	10	0	26100	7920
916	lsass.exe	0x7ffff9770000	msvcrt.dll	10	0	26100	7623
916	lsass.exe	0x7ffff5b40000	ncrypt.dll	10	0	26100	7705
916	lsass.exe	0x7ffff5af0000	NTASN1.dll	10	0	26100	1882
916	lsass.exe	0x7ffff5aa0000	VbsApi.dll	10	0	26100	7920
916	lsass.exe	0x7ffff5a70000	bcd.dll	10	0	26100	4202
916	lsass.exe	0x7ffff5a00000	Wldp.dll	10	0	26100	7920
916	lsass.exe	0x7ffff7890000	combase.dll	10	0	26100	7920
916	lsass.exe	0x7ffff6540000	bcryptprimitives.dll	10	0	26100	7623
916	lsass.exe	0x1b3c0d50000	msprivs.DLL	10	0	26100	1
916	lsass.exe	0x7ffff59e0000	netprovfw.dll	10	0	26100	1150
916	lsass.exe	0x7ffff59b0000	JOINUTIL.DLL	10	0	26100	3775
916	lsass.exe	0x7ffff5990000	MSASN1.dll	10	0	26100	7623
916	lsass.exe	0x7ffff5950000	negoexts.DLL	10	0	26100	7309
916	lsass.exe	0x7ffff5930000	CRYPTSP.dll	10	0	26100	7705
916	lsass.exe	0x7ffff5920000	CRYPTBASE.dll	10	0	26100	7623
916	lsass.exe	0x7ffff57b0000	kerberos.DLL	-	-	-	-
916	lsass.exe	0x7ffff8650000	WLDAP32.dll	10	0	26100	7920
916	lsass.exe	0x7ffff5780000	Kerb3961.dll	10	0	26100	7920
916	lsass.exe	0x7ffff5730000	KerbClientShared.dll	10	0	26100	7824
916	lsass.exe	0x7ffff7810000	WS2_32.dll	10	0	26100	7623
916	lsass.exe	0x7ffff56f0000	USERENV.dll	10	0	26100	7920
916	lsass.exe	0x7ffff56b0000	gpapi.dll	10	0	26100	7920
916	lsass.exe	0x7ffff9630000	shcore.dll	10	0	26100	7920
916	lsass.exe	0x7ffff5640000	mswsock.dll	10	0	26100	7920
