Volatility 3 Framework 2.28.1

Offset	Name
0xc08eab0373f0	\Program Files (x86)\Microsoft Office\root\Licenses16\ProjectPro2019DemoR_BypassTrial180-ul-oob.xrm-ms
0xc08eab037580	\Program Files (x86)\Microsoft Office\root\Licenses16\PowerPointVL_KMS_Client-ul-oob.xrm-ms
0xc08eab0382f0	\Program Files (x86)\Microsoft Office\root\Office16\MSIPC\sr-Cyrl-RS\msipc.dll.mui
0xc08eab03f580	\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_svchost.exe_DoSv_72a9d71b8798482d9251a726b32e74b9f19b17_db587682_f9d14d4d\Report.wer.tmp
0xc08eab048a40	\Windows\System32\WinMetadata\Windows.Web.winmd
0xc08eab050080	\Windows\System32\msvcp140.dll
0xc08eab05ebd0	\Windows\System32\EthernetMediaManager.dll
0xc08eab063c70	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Filters\api-ms-win-crt-multibyte-l1-1-0.dll
0xc08eab06cd80	\$Directory
0xc08eab071580	\Windows\System32\drivers\acpi.sys
0xc08eab076080	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesX64\Microsoft Office\Office16\api-ms-win-crt-conio-l1-1-0.dll
0xc08eab07cb50	\Program Files (x86)\Microsoft Office\root\Licenses16\O365HomePremR_SubTest4-ul-oob.xrm-ms
0xc08eab083ca0	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\TEXTCONV\WPFT632.CNV
0xc08eab084420	\Windows\SysWOW64\CoreMessaging.dll
0xc08eab086450	\Program Files (x86)\Microsoft Office\root\Office16\ADDINS\MSVCR71.DLL
0xc08eab092b40	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Filters\api-ms-win-crt-stdio-l1-1-0.dll
0xc08eab097230	\Program Files (x86)\McAfee\VirusScan Enterprise\coptcpl.dll
0xc08eab09fb50	\Program Files (x86)\Microsoft Office\root\Office16\ADDINS\Microsoft Power Query for Excel Integrated\bin\Microsoft.Mashup.OleDbProvider.dll
0xc08eab0a09f0	\$Directory
0xc08eab0a6190	\Program Files (x86)\Microsoft Office\root\Office16\MSIPC\hi\msipc.dll.mui
0xc08eab0b0080	\Windows\WinSxS\Temp\PendingRenames\4623fea9c4a9d7011f000000dc4a3448.programdata_microsoft_network_downloader_7fafaef6d33e4371.cdf-ms
0xc08eab0b8410	\Program Files (x86)\Microsoft Office\root\Licenses16\PowerPoint2019R_Grace-ul-oob.xrm-ms
0xc08eab0c2c40	\Users\mhill\Saved Games\desktop.ini
0xc08eab0c5ef0	\Program Files (x86)\Microsoft Office\root\Licenses16\Word2019R_Retail-ul-phn.xrm-ms
0xc08eab0c83b0	\Windows\System32\DriverStore\FileRepository\mdmomrn3.inf_amd64_89098675681ddc2c\mdmomrn3.inf
0xc08eab0eaef0	\Windows\SysWOW64\webio.dll
0xc08eab0ecef0	\$MapAttributeValue
0xc08eab0f3080	\$Directory
0xc08eab0f51e0	\$MapAttributeValue
0xc08eab100cc0	\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd
0xc08eab105a50	\Program Files (x86)\Microsoft Office\root\Licenses16\Outlook2019R_OEM_Perp-ul-phn.xrm-ms
0xc08eab112ac0	\ShellEx_22388
0xc08eab1163a0	\Windows\System32\DriverStore\FileRepository\prnhpcl3.inf_amd64_bc8290454e743598\prnhpcl3.inf
0xc08eab12acc0	\Program Files (x86)\Microsoft Office\root\vfs\SystemX86\msvcp140_1.dll
0xc08eab138b30	\$Extend:$I30:$INDEX_ALLOCATION
0xc08eab13b940	\Program Files (x86)\Microsoft Office\root\Licenses16\ProfessionalR_Retail-ul-phn.xrm-ms
0xc08eab145b90	\Program Files (x86)\Microsoft Office\root\Licenses16\ProjectProMSDNR_Retail-ul-oob.xrm-ms
0xc08eab147de0	\Program Files (x86)\Microsoft Office\root\Licenses16\VisioPro2019DemoR_BypassTrial180-ul-oob.xrm-ms
0xc08eab14fcc0	\Program Files (x86)\Microsoft Office\root\Office16\ADDINS\PowerPivot Excel Add-in\Microsoft.ReportingServices.Interfaces.dll
0xc08eab1590b0	鄈ꬕ삎￿鄈ꬕ삎￿
0xc08eab160ae0	\$MapAttributeValue
0xc08eab161350	\Program Files (x86)\Microsoft Office\root\Office16\PROOF\LTSHYPH_ES.LEX
0xc08eab166580	\$MapAttributeValue
0xc08eab16def0	\Windows\System32\userenv.dll
0xc08eab16ed90	\$MapAttributeValue
0xc08eab1737b0	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\OFFICE16\vcruntime140.dll
0xc08eab179ef0	\$MapAttributeValue
0xc08eab17c580	\$MapAttributeValue
0xc08eab17fac0	\Program Files (x86)\Microsoft Office\root\vfs\SystemX86\FM20ENU.DLL
0xc08eab185bb0	\Windows\WinSxS\Temp\PendingRenames\2a14a5f28daad7010c000000004b6441.Generalize.xml
0xc08eab185ef0	\Windows\System32\ResourcePolicyClient.dll
0xc08eab18ccc0	\Windows\SysWOW64\OneCoreCommonProxyStub.dll
0xc08eab199ef0	\Program Files (x86)\Microsoft Office\root\Office16\roottools.dll
0xc08eab19b240	\Windows\System32\RTMediaFrame.dll
0xc08eab19bef0	\Windows\System32\catsrv.dll
0xc08eab19cac0	\Windows\System32\cmd.exe
0xc08eab19def0	\$MapAttributeValue
0xc08eab1a55f0	\Windows\System32\winevt\Logs\Microsoft-Windows-LanguagePackSetup%4Operational.evtx
0xc08eab1ab410	\Windows\System32\SensorsNativeApi.dll
0xc08eab1ac080	\Program Files (x86)\Microsoft Office\root\Office16\microsoft.sharepoint.workflowactions.proxy.dll
0xc08eab1ac290	\Program Files (x86)\Microsoft Office\root\Office16\ONFILTER.DLL
0xc08eab1b8190	\$Directory
0xc08eab1cdef0	\Program Files (x86)\Microsoft Office\root\Office16\MSOSPECTRE.DLL
0xc08eab1e0580	\Windows\System32\dstokenclean.exe
0xc08eab1e7ef0	\$MapAttributeValue
0xc08eab1e8bc0	\$MapAttributeValue
0xc08eab1ff520	\Program Files (x86)\Microsoft Office\root\Office16\OLMAPI32.DLL
0xc08eab20e350	\Program Files\McAfee\Agent\x86\ma_compat_framework_factory.dll
0xc08eab219580	\Program Files (x86)\Microsoft Office\root\Licenses16\O365ProPlusR_SubTrial5-pl.xrm-ms
0xc08eab21bc30	\Program Files\McAfee\Agent\x86\mctray.exe
0xc08eab227ef0	\Program Files (x86)\Microsoft Office\root\Office16\ADDINS\Microsoft Power Query for Excel Integrated\bin\System.Collections.Immutable.dll
0xc08eab2290b0	鄈ꬢ삎￿鄈ꬢ삎￿
0xc08eab22edb0	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\api-ms-win-crt-conio-l1-1-0.dll
0xc08eab23a580	\Program Files (x86)\Microsoft Office\root\Office16\MSIPC\gl\msipc.dll.mui
0xc08eab253a00	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\OFFICE16\DataModel\Resources\1033\msmdsrvi_xl.rll
0xc08eab25def0	\Program Files (x86)\Microsoft Office\root\Licenses16\Standard2019VL_KMS_Client_AE-ul.xrm-ms
0xc08eab262260	\Windows\System32\wbem\wmipcima.dll
0xc08eab264ef0	\$MapAttributeValue
0xc08eab26e3a0	\Windows\System32\UserDeviceRegistration.dll
0xc08eab26f3a0	\Program Files (x86)\Microsoft Office\root\Licenses16\PowerPointR_Trial-pl.xrm-ms
0xc08eab270310	\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA
0xc08eab27d580	\Program Files (x86)\Microsoft Office\root\Licenses16\Personal2019R_Retail-pl.xrm-ms
0xc08eab27e9f0	\Windows\SysWOW64\winrnr.dll
0xc08eab281b50	\Program Files (x86)\Microsoft Office\root\Office16\api-ms-win-core-file-l2-1-0.dll
0xc08eab283580	\ProgramData\McAfee\Agent\AgentEvents\Upload\mc_202109031702559743557000344CC.xml
0xc08eab2849d0	\$MapAttributeValue
0xc08eab289580	\$MapAttributeValue
0xc08eab28b080	\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb
0xc08eab297ef0	\$Directory
0xc08eab2a3080	\Program Files (x86)\Microsoft Office\root\Licenses16\VisioStdCO365R_SubTest-pl.xrm-ms
0xc08eab2a9ac0	\Windows\System32\drivers\mfehidk.sys
0xc08eab2b4080	\Program Files (x86)\Microsoft Office\root\Licenses16\PublisherR_Trial-ul-oob.xrm-ms
