L3477: 5432	StartMenuExper	0x7fffe6b10000	0xc4000	Windows.StateRepositoryPS.dll	C:\Windows\System32\Windows.StateRepositoryPS.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3478: 5432	StartMenuExper	0x7ffff9120000	0x195000	ole32.dll	C:\WINDOWS\System32\ole32.dll	-1	2026-05-13 19:15:50.000000 UTC	Disabled
L3479: 5432	StartMenuExper	0x7fffe7590000	0xc0000	StructuredQuery.dll	C:\WINDOWS\System32\StructuredQuery.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3480: 5432	StartMenuExper	0x7fffe72e0000	0x29e000	icu.dll	C:\WINDOWS\SYSTEM32\icu.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3481: 5432	StartMenuExper	0x7ffff1bd0000	0x103000	PROPSYS.dll	C:\WINDOWS\SYSTEM32\PROPSYS.dll	-1	2026-05-13 19:15:50.000000 UTC	Disabled
L3482: 5432	StartMenuExper	0x7fffe6740000	0x177000	Windows.System.Launcher.dll	C:\Windows\System32\Windows.System.Launcher.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3483: 5432	StartMenuExper	0x7fffe6aa0000	0x29000	edputil.dll	C:\WINDOWS\SYSTEM32\edputil.dll	-1	2026-05-13 19:15:51.000000 UTC	Disabled
L3484: 5432	StartMenuExper	0x7fffe9de0000	0x9c000	Windows.Web.dll	C:\Windows\System32\Windows.Web.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3485: 5432	StartMenuExper	0x7fffebc10000	0x329000	Windows.UI.Xaml.Controls.dll	C:\WINDOWS\SYSTEM32\Windows.UI.Xaml.Controls.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3486: 5432	StartMenuExper	0x7fffee500000	0x94000	Windows.Graphics.dll	C:\Windows\System32\Windows.Graphics.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3487: 5432	StartMenuExper	0x7ffff2f10000	0x220000	dcomp.dll	C:\Windows\System32\dcomp.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3488: 5432	StartMenuExper	0x7ffff23d0000	0x19000	Microsoft.Internal.WarpPal.dll	C:\WINDOWS\SYSTEM32\Microsoft.Internal.WarpPal.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3489: 5432	StartMenuExper	0x7fffe55a0000	0xd6000	Windows.ApplicationModel.dll	C:\Windows\System32\Windows.ApplicationModel.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3490: 5432	StartMenuExper	0x7fffd6e80000	0x15000	Windows.Globalization.Fontgroups.dll	C:\Windows\System32\Windows.Globalization.Fontgroups.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3491: 5432	StartMenuExper	0x7fffefe30000	0x5e000	Bcp47Langs.dll	C:\WINDOWS\SYSTEM32\Bcp47Langs.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3492: 5432	StartMenuExper	0x7fffe39e0000	0xb000	fontgroupsoverride.dll	C:\WINDOWS\SYSTEM32\fontgroupsoverride.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3493: 5432	StartMenuExper	0x7fffd72c0000	0x65000	Windows.Storage.ApplicationData.dll	C:\Windows\System32\Windows.Storage.ApplicationData.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3494: 5432	StartMenuExper	0x7ffff39c0000	0xb4000	policymanager.dll	C:\WINDOWS\SYSTEM32\policymanager.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3495: 5432	StartMenuExper	0x7fffd6c50000	0xdb000	windows.internal.shell.broker.dll	C:\Windows\System32\windows.internal.shell.broker.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3496: 5432	StartMenuExper	0x7fffe19e0000	0x2d1000	Windows.CloudStore.dll	C:\Windows\System32\Windows.CloudStore.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
L3497: 5432	StartMenuExper	0x7fffd6d30000	0x143000	ShellCommonCommonProxyStub.dll	C:\Windows\System32\ShellCommonCommonProxyStub.dll	6	2026-05-13 19:15:51.000000 UTC	Disabled
