Volatility 3 Framework 2.28.1

Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType
0x990ef4089e20	DRV	Win32k	N/A	N/A	N/A
0x990ef408e060	DRV	USBHUB3	N/A	N/A	N/A
* 0x990ef408e060	DEV	USBHUB3	USBPDO-1	N/A	FILE_DEVICE_UNKNOWN
** 0x990ef408e060	ATT	USBHUB3	_HID00000000	\Driver\HidUsb	FILE_DEVICE_UNKNOWN
0x990ef44c3e10	DRV	cdfs	N/A	N/A	N/A
* 0x990ef44c3e10	DEV	cdfs	-	N/A	FILE_DEVICE_CD_ROM_FILE_SYSTEM
** 0x990ef44c3e10	ATT	cdfs	-	\FileSystem\FltMgr	FILE_DEVICE_CD_ROM_FILE_SYSTEM
0x990ef44cfe10	DRV	monitor	N/A	N/A	N/A
* 0x990ef44cfe10	DEV	monitor	-	N/A	FILE_DEVICE_UNKNOWN
0x990ef44d6e10	DRV	CDD	N/A	N/A	N/A
* 0x990ef44d6e10	DEV	CDD	Cdd	N/A	FILE_DEVICE_UNKNOWN
0x990ef4580e10	DRV	bfs	N/A	N/A	N/A
* 0x990ef4580e10	DEV	bfs	Bfs	N/A	FILE_DEVICE_UNKNOWN
0x990ef45d5850	DRV	AppID	N/A	N/A	N/A
* 0x990ef45d5850	DEV	AppID	AppID	N/A	FILE_DEVICE_UNKNOWN
0x990ef45dd6c0	DRV	applockerfltr	N/A	N/A	N/A
0x990ef61ace10	DRV	bindflt	N/A	N/A	N/A
0x990ef640fe10	DRV	condrv	N/A	N/A	N/A
* 0x990ef640fe10	DEV	condrv	ConDrv	N/A	UNKNOWN
0x990ef6439e10	DRV	luafv	N/A	N/A	N/A
0x990ef643ae10	DRV	wcifs	N/A	N/A	N/A
0x990ef643ce10	DRV	CldFlt	N/A	N/A	N/A
* 0x990ef643ce10	DEV	CldFlt	-	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
0x990ef643ee10	DRV	UnionFS	N/A	N/A	N/A
0x990ef643fe10	DRV	storqosflt	N/A	N/A	N/A
0x990ef6440e10	DRV	UCPD	N/A	N/A	N/A
0x990ef6446e10	DRV	tcpipreg	N/A	N/A	N/A
0x990ef64a6e10	DRV	MsLldp	N/A	N/A	N/A
* 0x990ef64a6e10	DEV	MsLldp	LLDPCTRL	N/A	FILE_DEVICE_UNKNOWN
0x990ef64a9e10	DRV	rspndr	N/A	N/A	N/A
* 0x990ef64a9e10	DEV	rspndr	rspndr	N/A	FILE_DEVICE_NETWORK
0x990ef64ace10	DRV	wtd	N/A	N/A	N/A
* 0x990ef64ace10	DEV	wtd	DD9ADAAA-2585-41C5-9847-28A19BA9F344	N/A	FILE_DEVICE_UNKNOWN
0x990ef64aee10	DRV	HTTP	N/A	N/A	N/A
* 0x990ef64aee10	DEV	HTTP	ClientSession	N/A	FILE_DEVICE_NETWORK
0x990ef6561e10	DRV	bowser	N/A	N/A	N/A
* 0x990ef6561e10	DEV	bowser	LanmanDatagramReceiver	N/A	FILE_DEVICE_NETWORK_BROWSER
0x990ef6562e10	DRV	mpsdrv	N/A	N/A	N/A
* 0x990ef6562e10	DEV	mpsdrv	MPS	N/A	UNKNOWN
0x990ef65b6e10	DRV	mrxsmb	N/A	N/A	N/A
* 0x990ef65b6e10	DEV	mrxsmb	-	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
0x990ef65bee10	DRV	mrxsmb20	N/A	N/A	N/A
0x990ef65c2e10	DRV	srvnet	N/A	N/A	N/A
* 0x990ef65c2e10	DEV	srvnet	SrvNet	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
0x990ef6adae10	DRV	MMCSS	N/A	N/A	N/A
* 0x990ef6adae10	DEV	MMCSS	MMCSS	N/A	FILE_DEVICE_UNKNOWN
0x990ef6ae2e10	DRV	Ndu	N/A	N/A	N/A
* 0x990ef6ae2e10	DEV	Ndu	NduIoDevice	N/A	FILE_DEVICE_NETWORK
0x990ef6c47340	DRV	KslD	N/A	N/A	N/A
* 0x990ef6c47340	DEV	KslD	KslD	N/A	FILE_DEVICE_UNKNOWN
0x990efa1e7850	DRV	WdNisDrv	N/A	N/A	N/A
* 0x990efa1e7850	DEV	WdNisDrv	wdnisdrv	N/A	FILE_DEVICE_UNKNOWN
0xd0013dcd9fe3	DRV	-	N/A	N/A	N/A
0xd0013dcda003	DRV	-	N/A	N/A	N/A
0xd0013dcda023	DRV	-	N/A	N/A	N/A
