Volatility 3 Framework 2.28.1

Offset	Name
0x990ef7107c90	N/A
0x990ef710edb0	N/A
0x990ef71148f0	N/A
0x990ef7114ad0	N/A
0x990ef71154d0	N/A
0x990ef71156b0	N/A
0x990ef7116fb0	N/A
0x990ef711c7d0	N/A
0x990ef711c9b0	N/A
0x990ef7120470	N/A
0x990ef7120c90	N/A
0x990ef71219b0	N/A
0x990ef71249d0	N/A
0x990ef7124a70	N/A
0x990ef7126230	N/A
0x990ef7126a50	N/A
0x990ef7127590	N/A
0x990ef7128530	N/A
0x990ef712a790	N/A
0x990ef712c770	N/A
0x990ef71381b0	N/A
0x990ef7138e30	N/A
0x990ef713bdb0	N/A
0x990ef713d6b0	N/A
0x990ef713d750	N/A
0x990ef713dd90	N/A
0x990ef7140ef0	N/A
0x990ef7141710	N/A
0x990ef71432e0	SM0:7284:304:WilStaging_02
0x990ef7143460	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_1280.db!dfMaintainer
0x990ef71436a0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_16.db!dfMaintainer
0x990ef7143760	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_256.db!dfMaintainer
0x990ef71438e0	SM0:2380:304:WilStaging_02
0x990ef7143b20	SM0:4532:120:WilError_03
0x990ef7143ca0	SM0:7476:304:WilStaging_02
0x990ef7143e20	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_1920.db!dfMaintainer
0x990ef7143ee0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_768.db!dfMaintainer
0x990ef7144120	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_idx.db!IconCacheInit
0x990ef71441e0	SM0:7924:120:WilError_03
0x990ef7144360	SM0:7476:120:WilError_03
0x990ef71445a0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_96.db!dfMaintainer
0x990ef7144660	SM0:376:120:WilError_03
0x990ef71448a0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_48.db!dfMaintainer
0x990ef7144ae0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_idx.db!rwWriterMutex
0x990ef7144f60	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_exif.db!dfMaintainer
0x990ef71456e0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_32.db!dfMaintainer
0x990ef7145920	SM0:7924:304:WilStaging_02
0x990ef71459e0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_custom_stream.db!dfMaintainer
0x990ef7145aa0	dc84e7d7-1880-44d7-b9b1-977a69077998
0x990ef7145c20	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_sr.db!dfMaintainer
0x990ef7145da0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_2560.db!dfMaintainer
0x990ef7145e60	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_wide.db!dfMaintainer
0x990ef71460a0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:iconcache_wide_alternate.db!dfMaintainer
0x990ef7146d60	SM0:1560:304:WilStaging_02
0x990ef7147300	N/A
0x990ef7148640	N/A
0x990ef714ae80	N/A
0x990ef714ae90	N/A
0x990ef714aef0	N/A
0x990ef714af00	N/A
0x990ef71522e0	SM0:4820:304:WilStaging_02
0x990ef7154700	
0x990ef7155220	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_1280.db!dfMaintainer
0x990ef71555e0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_exif.db!dfMaintainer
0x990ef71559a0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_256.db!dfMaintainer
0x990ef7155a60	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_sr.db!dfMaintainer
0x990ef7155be0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_96.db!dfMaintainer
0x990ef71561e0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_idx.db!ThumbnailCacheInit
0x990ef71564e0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_32.db!dfMaintainer
0x990ef7156660	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_768.db!dfMaintainer
0x990ef71568a0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_wide.db!dfMaintainer
0x990ef7156de0	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_idx.db!rwWriterMutex
0x990ef7156f60	C::Users:kali:AppData:Local:Microsoft:Windows:Explorer:thumbcache_48.db!dfMaintainer
