L3927: 5684	RuntimeBroker.	0x7fffeb7e0000	0x19000	npmproxy.dll	C:\WINDOWS\System32\npmproxy.dll	6	2026-05-13 19:16:01.000000 UTC	Disabled
L3928: 5684	RuntimeBroker.	0x7ffff60f0000	0x63000	WINSTA.dll	C:\WINDOWS\SYSTEM32\WINSTA.dll	-1	2026-05-13 19:16:01.000000 UTC	Disabled
L3929: 5684	RuntimeBroker.	0x7ffff4a00000	0x33000	IPHLPAPI.DLL	C:\Windows\System32\IPHLPAPI.DLL	6	2026-05-13 19:16:01.000000 UTC	Disabled
L3930: 5684	RuntimeBroker.	0x7ffff8700000	0xa000	NSI.dll	C:\WINDOWS\System32\NSI.dll	6	2026-05-13 19:16:01.000000 UTC	Disabled

--- pstree.txt ---
L33: *** 5684	516	RuntimeBroker.	0x990ef692c080	5	-	1	False	2026-05-13 19:15:50.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe

--- psscan.txt ---
L62: 5684	516	RuntimeBroker.	0x990ef692c080	5	-	1	False	2026-05-13 19:15:50.000000 UTC	N/A	Disabled

--- ldrmodules.txt ---
L4080: 5684	RuntimeBroker.	0x7fffeca30000	True	True	True	\Windows\System32\OneCoreUAPCommonProxyStub.dll
L4081: 5684	RuntimeBroker.	0x1cc96de0000	False	False	False	\Windows\System32\en-US\KernelBase.dll.mui
L4082: 5684	RuntimeBroker.	0x1cc96dd0000	False	False	False	\Windows\System32\en-US\combase.dll.mui
L4083: 5684	RuntimeBroker.	0x1cc96f40000	False	False	False	\Windows\System32\WinMetadata\Windows.UI.winmd
L4084: 5684	RuntimeBroker.	0x7fffdc860000	True	True	True	\Windows\System32\Windows.Management.Workplace.dll
L4085: 5684	RuntimeBroker.	0x1cc997a0000	False	False	False	\Windows\System32\WinMetadata\Windows.Foundation.winmd
L4086: 5684	RuntimeBroker.	0x1cc998e0000	False	False	False	\Windows\System32\en-US\Windows.Security.Authentication.Web.Core.dll.mui
L4087: 5684	RuntimeBroker.	0x1cc99a30000	False	False	False	\Windows\System32\en-US\windows.storage.dll.mui
L4088: 5684	RuntimeBroker.	0x1cc99a10000	False	False	False	\Windows\System32\en-US\propsys.dll.mui
L4089: 5684	RuntimeBroker.	0x7fffd6600000	True	True	True	\Windows\System32\Windows.Internal.System.UserProfile.dll
L4090: 5684	RuntimeBroker.	0x7fffba940000	True	True	True	\Windows\ImmersiveControlPanel\SystemSettingsViewModel.Desktop.dll
L4091: 5684	RuntimeBroker.	0x7fffba090000	True	True	True	\Windows\System32\DismApi.dll
L4092: 5684	RuntimeBroker.	0x7ff7aab20000	True	False	True	\Windows\System32\RuntimeBroker.exe
L4093: 5684	RuntimeBroker.	0x7fffba1d0000	True	True	True	\Windows\System32\SettingsEnvironment.Desktop.dll
L4094: 5684	RuntimeBroker.	0x7fffd46e0000	True	True	True	\Windows\System32\mfsensorgroup.dll
L4095: 5684	RuntimeBroker.	0x7fffd6d30000	True	True	True	\Windows\System32\ShellCommonCommonProxyStub.dll
L4096: 5684	RuntimeBroker.	0x7fffd6c10000	True	True	True	\Windows\System32\rometadata.dll
L4097: 5684	RuntimeBroker.	0x7fffd9180000	True	True	True	\Windows\System32\Windows.UI.Accessibility.dll
L4098: 5684	RuntimeBroker.	0x7fffe3ee0000	True	True	True	\Windows\System32\OneCoreCommonProxyStub.dll
L4099: 5684	RuntimeBroker.	0x7fffe2ef0000	True	True	True	\Windows\System32\windowsudk.shellcommon.dll
L4100: 5684	RuntimeBroker.	0x7fffe03b0000	True	True	True	\Windows\System32\Windows.Security.Authentication.Web.Core.dll
L4101: 5684	RuntimeBroker.	0x7fffdcde0000	True	True	True	\Windows\System32\CloudExperienceHostCommon.dll
L4102: 5684	RuntimeBroker.	0x7fffe15b0000	True	True	True	\Windows\System32\gamemode.dll
L4103: 5684	RuntimeBroker.	0x7fffe1950000	True	True	True	\Windows\System32\mdmregistration.dll
L4104: 5684	RuntimeBroker.	0x7fffe3b40000	True	True	True	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\vcruntime140_1_app.dll
L4105: 5684	RuntimeBroker.	0x7fffe3930000	True	True	True	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\vcruntime140_app.dll
L4106: 5684	RuntimeBroker.	0x7fffe3950000	True	True	True	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\msvcp140_app.dll
L4107: 5684	RuntimeBroker.	0x7fffe3d30000	True	True	True	\Windows\SystemApps\MicrosoftWindows.Client.Photon_cw5n1h2txyewy\WsxPackManager.dll
L4108: 5684	RuntimeBroker.	0x7fffe72e0000	True	True	True	\Windows\System32\icu.dll
L4109: 5684	RuntimeBroker.	0x7fffe66b0000	True	True	True	\Windows\System32\Windows.StateRepositoryClient.dll
L4110: 5684	RuntimeBroker.	0x7fffe55a0000	True	True	True	\Windows\System32\Windows.ApplicationModel.dll
L4111: 5684	RuntimeBroker.	0x7fffe4130000	True	True	True	\Windows\System32\EthernetMediaManager.dll
L4112: 5684	RuntimeBroker.	0x7fffe6aa0000	True	True	True	\Windows\System32\edputil.dll
L4113: 5684	RuntimeBroker.	0x7fffe6700000	True	True	True	\Windows\System32\dot3api.dll
L4114: 5684	RuntimeBroker.	0x7fffe87c0000	True	True	True	\Windows\System32\Windows.StateRepositoryCore.dll
L4115: 5684	RuntimeBroker.	0x7fffe7590000	True	True	True	\Windows\System32\StructuredQuery.dll
L4116: 5684	RuntimeBroker.	0x7fffe86a0000	True	True	True	\Windows\System32\SystemSettings.DataModel.dll
L4117: 5684	RuntimeBroker.	0x7fffea0a0000	True	True	True	\Windows\System32\usermgrcli.dll
L4118: 5684	RuntimeBroker.	0x7fffe9de0000	True	True	True	\Windows\System32\Windows.Web.dll
L4119: 5684	RuntimeBroker.	0x7fffe9e80000	True	True	True	\Windows\System32\NetworkUXBroker.dll
L4120: 5684	RuntimeBroker.	0x7fffeb830000	True	True	True	\Windows\System32\InputHost.dll
L4121: 5684	RuntimeBroker.	0x7fffeb7e0000	True	True	True	\Windows\System32\npmproxy.dll
L4122: 5684	RuntimeBroker.	0x7fffec8c0000	True	True	True	\Windows\System32\AppXDeploymentClient.dll
L4123: 5684	RuntimeBroker.	0x7ffff6ae0000	True	True	True	\Windows\System32\ucrtbase.dll
L4124: 5684	RuntimeBroker.	0x7ffff50d0000	True	True	True	\Windows\System32\kernel.appcore.dll
L4125: 5684	RuntimeBroker.	0x7ffff39c0000	True	True	True	\Windows\System32\policymanager.dll
L4126: 5684	RuntimeBroker.	0x7fffedd70000	True	True	True	\Windows\System32\twinapi.appcore.dll
