Volatility 3 Framework 2.28.1

Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType
0xc08eaf555840	DRV	srv2	N/A	N/A	N/A
* 0xc08eaf555840	DEV	srv2	Srv2	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
0xc08eaf574060	DRV	mrxsmb	N/A	N/A	N/A
* 0xc08eaf574060	DEV	mrxsmb	-	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
0xc08eaf59d060	DRV	tsusbhub	N/A	N/A	N/A
* 0xc08eaf59d060	DEV	tsusbhub	-	N/A	FILE_DEVICE_BUS_EXTENDER
0xc08eaf5d7580	DRV	mrxsmb20	N/A	N/A	N/A
0xc08eaf5f0060	DRV	srvnet	N/A	N/A	N/A
* 0xc08eaf5f0060	DEV	srvnet	SrvNet	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
0xc08eaf662530	DRV	CldFlt	N/A	N/A	N/A
* 0xc08eaf662530	DEV	CldFlt	-	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
0xc08eaf6625b0	DRV	\FileSystem\CldFlt	N/A	N/A	N/A
* 0xc08eaf6625b0	DEV	\FileSystem\CldFlt	-	N/A	UNKNOWN
0xc08eaf6994f0	DRV	mpsdrv	N/A	N/A	N/A
* 0xc08eaf6994f0	DEV	mpsdrv	MPS	N/A	UNKNOWN
0xc08eaf6e64e0	DRV	luafv	N/A	N/A	N/A
0xc08eaf6e7060	DRV	wcifs	N/A	N/A	N/A
0xc08eaf71f3a0	DRV	storqosflt	N/A	N/A	N/A
0xc08eaf76a7a0	DRV	wanarp	N/A	N/A	N/A
* 0xc08eaf76a7a0	DEV	wanarp	WANARPV6	N/A	FILE_DEVICE_NETWORK
0xc08eaf7b4060	DRV	lltdio	N/A	N/A	N/A
* 0xc08eaf7b4060	DEV	lltdio	lltdio	N/A	FILE_DEVICE_NETWORK
0xc08eaf7c2380	DRV	MsLldp	N/A	N/A	N/A
* 0xc08eaf7c2380	DEV	MsLldp	LLDPCTRL	N/A	FILE_DEVICE_UNKNOWN
0xc08eaf7e3680	DRV	rspndr	N/A	N/A	N/A
* 0xc08eaf7e3680	DEV	rspndr	rspndr	N/A	FILE_DEVICE_NETWORK
0xc08eaf902330	DRV	Ndu	N/A	N/A	N/A
* 0xc08eaf902330	DEV	Ndu	NduIoDevice	N/A	FILE_DEVICE_NETWORK
0xc08eaf902650	DRV	mrxsmb10	N/A	N/A	N/A
0xc08eaf928060	DRV	npf	N/A	N/A	N/A
* 0xc08eaf928060	DEV	npf	NPF_{F6F98D0F-CC59-4506-9A2F-AB6902F2F7D9}	N/A	FILE_DEVICE_TRANSPORT
0xc08eaf94d420	DRV	PEAUTH	N/A	N/A	N/A
* 0xc08eaf94d420	DEV	PEAUTH	PEAuth	N/A	FILE_DEVICE_UNKNOWN
0xc08eaf9d18d0	DRV	tcpipreg	N/A	N/A	N/A
0xc08eaf9e0890	DRV	srv	N/A	N/A	N/A
* 0xc08eaf9e0890	DEV	srv	LanmanServer	N/A	FILE_DEVICE_NETWORK
0xc08eafa89c40	DRV	RasSstp	N/A	N/A	N/A
* 0xc08eafa89c40	DEV	RasSstp	NDMP2	N/A	FILE_DEVICE_PHYSICAL_NETCARD
0xc08eafa966a0	DRV	mfehck	N/A	N/A	N/A
0xc08eafaa27f0	DRV	ndproxy	N/A	N/A	N/A
* 0xc08eafaa27f0	DEV	ndproxy	NDProxy	N/A	FILE_DEVICE_NETWORK
0xc08eafcf52c0	DRV	RasAgileVpn	N/A	N/A	N/A
* 0xc08eafcf52c0	DEV	RasAgileVpn	NDMP3	N/A	FILE_DEVICE_PHYSICAL_NETCARD
0xc08eafd9ae60	DRV	Rasl2tp	N/A	N/A	N/A
* 0xc08eafd9ae60	DEV	Rasl2tp	NDMP4	N/A	FILE_DEVICE_PHYSICAL_NETCARD
0xc08eafdcce60	DRV	condrv	N/A	N/A	N/A
* 0xc08eafdcce60	DEV	condrv	ConDrv	N/A	UNKNOWN
0xc08eafde6e60	DRV	PptpMiniport	N/A	N/A	N/A
* 0xc08eafde6e60	DEV	PptpMiniport	NDMP5	N/A	FILE_DEVICE_PHYSICAL_NETCARD
0xc08eafe45200	DRV	RasPppoe	N/A	N/A	N/A
* 0xc08eafe45200	DEV	RasPppoe	NDMP6	N/A	FILE_DEVICE_PHYSICAL_NETCARD
0xc08eafe8d9e0	DRV	NdisTapi	N/A	N/A	N/A
* 0xc08eafe8d9e0	DEV	NdisTapi	NdisTapi	N/A	UNKNOWN
0xc08eafed7290	DRV	NdisWan	N/A	N/A	N/A
* 0xc08eafed7290	DEV	NdisWan	NDMP9	N/A	FILE_DEVICE_PHYSICAL_NETCARD
0xc08eaffa0960	DRV	vmhgfs	N/A	N/A	N/A
* 0xc08eaffa0960	DEV	vmhgfs	hgfsInternal	N/A	UNKNOWN
0xc08ebc86d380	DRV	mnemosyne	N/A	N/A	N/A
* 0xc08ebc86d380	DEV	mnemosyne	Mnemosyne	N/A	FILE_DEVICE_UNKNOWN
0xee0000051e60	DRV	Null	N/A	N/A	N/A
* 0xee0000051e60	DEV	Null	Null	N/A	FILE_DEVICE_NULL
0xee0000056420	DRV	PnpManager	N/A	N/A	N/A
* 0xee0000056420	DEV	PnpManager	0000000e	N/A	FILE_DEVICE_CONTROLLER
** 0xee0000056420	ATT	PnpManager	RdpBus	\Driver\rdpbus	UNKNOWN
0xee000006f3a0	DRV	CNG	N/A	N/A	N/A
* 0xee000006f3a0	DEV	CNG	CNG	N/A	UNKNOWN
0xee000007ed10	DRV	rdyboost	N/A	N/A	N/A
* 0xee000007ed10	DEV	rdyboost	-	N/A	FILE_DEVICE_DISK
** 0xee000007ed10	ATT	rdyboost	-	\Driver\iorate	FILE_DEVICE_DISK
